Idx,t,x_pos,x_vel,y_pos,y_vel,z_pos,z_vel,laser_pwr,p_chamb,gassFlow,glassSenseVal,glassLedPwr
181,2023-08-01-12:08:50.671,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
182,2023-08-01-12:08:50.681,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
183,2023-08-01-12:08:50.691,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
184,2023-08-01-12:08:50.701,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2949,41
185,2023-08-01-12:08:50.711,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
186,2023-08-01-12:08:50.721,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
187,2023-08-01-12:08:50.731,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
188,2023-08-01-12:08:50.741,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
189,2023-08-01-12:08:50.751,98.62540,0.00500,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
190,2023-08-01-12:08:50.761,98.62540,0.00700,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
191,2023-08-01-12:08:50.771,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
192,2023-08-01-12:08:50.781,98.62540,0.00000,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
193,2023-08-01-12:08:50.791,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2947,41
194,2023-08-01-12:08:50.801,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
195,2023-08-01-12:08:50.811,98.62540,0.00000,79.99900,79.99900,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
196,2023-08-01-12:08:50.821,98.62540,0.00300,79.99910,79.99910,29.99710,29.99710,0.00000,980.20001,0.00000,2950,41
197,2023-08-01-12:08:50.831,98.62540,0.00700,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2950,41
198,2023-08-01-12:08:50.841,98.62540,0.00200,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2952,41
199,2023-08-01-12:08:50.851,98.62540,0.00100,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
200,2023-08-01-12:08:50.861,98.62540,0.00400,79.99910,79.99910,29.99710,29.99710,0.00000,980.09998,0.00000,2947,41
